Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
TomH	23:14 1/5/2022	138
arun	23:14 1/5/2022	104
TomH	23:14 1/5/2022	141
Mike	23:14 1/5/2022	129
Tom	23:14 1/5/2022	135
arun	23:14 1/5/2022	102
Jim	23:14 1/5/2022	109
Tom	1:5 1/6/2022	120
Lana	1:5 1/6/2022	123
Jim	17:40 1/6/2022	114
Lana	17:40 1/6/2022	132
hari	17:40 1/6/2022	166
TomH	17:40 1/6/2022	127
test	18:7 1/6/2022	104
Jim	18:7 1/6/2022	130
Lana	18:11 1/6/2022	150
Tom	18:11 1/6/2022	142
123	18:12 1/6/2022	139
Jim	18:12 1/6/2022	165
Jim	18:12 1/6/2022	131
Mike	18:12 1/6/2022	186
Jim	21:59 1/6/2022	161
Mike	21:59 1/6/2022	181
Jim	21:59 1/6/2022	164
Mike	21:59 1/6/2022	111
Lana	21:59 1/6/2022	115
TomH	21:59 1/6/2022	101
test12	21:59 1/6/2022	132
Tom	22:3 1/6/2022	150
Lana	22:3 1/6/2022	144
Jim	22:4 1/6/2022	121
Lana	22:4 1/6/2022	118
Tom	22:4 1/6/2022	187
test345	22:4 1/6/2022	129
Lana	22:5 1/6/2022	120
Mike	22:8 1/6/2022	104
Tom	19:17 2/4/2022	106
Mike	11:48 2/0/2022	177
